 iteration      beta_a      beta_b
     22550    2.569735    1.264244
     22575    2.493591    1.237116
     22600    2.708569    1.242864
     22625    2.717338    1.271076
     22650    2.529176    1.209539
     22675    2.610213    1.261667
     22700    2.608411    1.241522
     22725    2.606834    1.266728
     22750    2.706737    1.235371
     22775    2.626669    1.266409
     22800    2.584193    1.244042
     22825    2.649884    1.321369
     22850    2.557601    1.250348
     22875    2.570145    1.215173
     22900    2.607480    1.241711
     22925    2.564357    1.259187
     22950    2.604041    1.254333
     22975    2.633424    1.283921
     23000    2.722281    1.302281
     23025    2.577233    1.335574
     23050    2.743127    1.271567
     23075    2.511630    1.249509
     23100    2.567215    1.225059
     23125    2.491386    1.192519
     23150    2.485785    1.221094
     23175    2.516760    1.244723
     23200    2.629901    1.262888
     23225    2.736372    1.308453
     23250    2.531511    1.222547
     23275    2.624343    1.256041
     23300    2.644075    1.287477
     23325    2.622509    1.232300
     23350    2.533061    1.189381
     23375    2.648378    1.274594
     23400    2.572339    1.240629
     23425    2.626606    1.244338
     23450    2.675082    1.273959
     23475    2.630637    1.303150
     23500    2.881841    1.334150
     23525    2.507068    1.197984
     23550    2.529823    1.240322
     23575    2.605598    1.237298
     23600    2.447211    1.234346
     23625    2.499627    1.212076
     23650    2.646693    1.311403
     23675    2.522866    1.209792
     23700    2.683380    1.319441
     23725    2.624564    1.297442
     23750    2.787907    1.371705
     23775    2.626577    1.242461
     23800    2.555134    1.227768
     23825    2.515303    1.194836
     23850    2.555690    1.245333
     23875    2.416836    1.163075
     23900    2.754376    1.325424
     23925    2.635545    1.318629
     23950    2.677564    1.255886
     23975    2.592619    1.286244
     24000    2.567806    1.250674
     24025    2.638138    1.256768
     24050    2.558118    1.259184
     24075    2.608407    1.291969
     24100    2.686576    1.274243
     24125    2.670403    1.276014
     24150    2.537487    1.214311
     24175    2.662957    1.260012
     24200    2.639327    1.235215
     24225    2.565376    1.260018
     24250    2.528385    1.263383
     24275    2.728005    1.292139
     24300    2.679605    1.253324
     24325    2.591363    1.252573
     24350    2.639443    1.270558
     24375    2.598262    1.242044
     24400    2.543655    1.246466
     24425    2.614094    1.225703
     24450    2.750994    1.329412
     24475    2.597195    1.221127
     24500    2.629904    1.243447
     24525    2.721707    1.269464
     24550    2.567091    1.234423
     24575    2.546466    1.245255
     24600    2.587935    1.256857
     24625    2.647827    1.262001
     24650    2.548695    1.264197
     24675    2.618170    1.238902
     24700    2.611946    1.242832
     24725    2.616805    1.259550
     24750    2.494179    1.248240
     24775    2.582321    1.271463
     24800    2.827881    1.344151
     24825    2.731681    1.263695
     24850    2.561479    1.206152
     24875    2.469715    1.240520
     24900    2.749222    1.303952
     24925    2.560767    1.234782
     24950    2.608825    1.246260
     24975    2.646694    1.257779
     25000    2.628278    1.275050
     25025    2.654219    1.305755
     25050    2.490037    1.214212
     25075    2.455633    1.183608
     25100    2.589712    1.271180
     25125    2.551296    1.244359
     25150    2.555298    1.240392
     25175    2.660524    1.304916
     25200    2.515413    1.236409
     25225    2.740566    1.324134
     25250    2.790907    1.326233
     25275    2.688717    1.309313
     25300    2.453570    1.207185
     25325    2.597924    1.230779
     25350    2.581375    1.277321
     25375    2.809160    1.310732
     25400    2.551401    1.260802
     25425    2.811944    1.340570
     25450    2.595364    1.305770
     25475    2.319739    1.128890
     25500    2.437558    1.196122
     25525    2.854990    1.340170
     25550    2.678296    1.258932
     25575    2.661472    1.257738
     25600    2.599046    1.238542
     25625    2.477887    1.197704
     25650    2.548212    1.226211
     25675    2.606089    1.209040
     25700    2.808610    1.341694
     25725    2.649341    1.326764
     25750    2.756100    1.337572
     25775    2.581437    1.268462
     25800    2.587943    1.245638
     25825    2.548114    1.285154
     25850    2.521495    1.206251
     25875    2.704775    1.292534
     25900    2.497513    1.263249
     25925    2.634640    1.252084
     25950    2.527112    1.233330
     25975    2.645414    1.257495
     26000    2.359450    1.220728
     26025    2.624305    1.258848
     26050    2.550666    1.246053
     26075    2.736994    1.279033
     26100    2.617169    1.272991
     26125    2.507699    1.230954
     26150    2.567283    1.218833
     26175    2.629349    1.250629
     26200    2.634275    1.294558
     26225    2.626576    1.269206
     26250    2.482634    1.203186
     26275    2.696045    1.265574
     26300    2.611824    1.268949
     26325    2.528002    1.262501
     26350    2.687480    1.251706
     26375    2.433197    1.164890
     26400    2.508204    1.239235
     26425    2.678355    1.263015
     26450    2.632321    1.308092
     26475    2.633925    1.276227
     26500    2.613594    1.285902
