 iteration      lambda
     85550   26.470635
     85575   27.375091
     85600   25.435179
     85625   26.453453
     85650   26.956815
     85675   26.852071
     85700   26.656368
     85725   27.634106
     85750   26.314906
     85775   26.222406
     85800   26.711136
     85825   25.257341
     85850   27.438831
     85875   27.564936
     85900   28.005460
     85925   27.155575
     85950   28.263856
     85975   27.230086
     86000   27.519169
     86025   26.923944
     86050   26.797637
     86075   26.955479
     86100   27.133017
     86125   27.117015
     86150   26.960757
     86175   27.224152
     86200   26.392903
     86225   26.349303
     86250   25.545638
     86275   25.864651
     86300   26.924160
     86325   26.505993
     86350   25.871989
     86375   26.064536
     86400   25.510917
     86425   26.432123
     86450   27.377104
     86475   25.785611
     86500   26.639703
     86525   26.850393
     86550   26.626030
     86575   26.709944
     86600   26.600978
     86625   26.841047
     86650   28.408779
     86675   27.264437
     86700   26.824946
     86725   27.174833
     86750   26.238059
     86775   26.600191
     86800   25.823865
     86825   25.270405
     86850   25.958377
     86875   26.507952
     86900   26.425629
     86925   25.949819
     86950   27.346372
     86975   26.903849
     87000   27.291196
     87025   26.599992
     87050   26.562159
     87075   27.348607
     87100   26.766328
     87125   27.012028
     87150   27.290845
     87175   26.760420
     87200   27.095025
     87225   26.888521
     87250   26.251781
     87275   25.590650
     87300   26.271257
     87325   25.548356
     87350   26.961677
     87375   25.794698
     87400   26.473665
     87425   26.601601
     87450   26.622546
     87475   27.263673
     87500   26.658059
     87525   26.569613
     87550   26.327657
     87575   26.456642
     87600   25.684465
     87625   25.862223
     87650   26.008972
     87675   26.827150
     87700   26.161470
     87725   26.590209
     87750   27.061891
     87775   26.846843
     87800   26.777536
     87825   26.684594
     87850   26.955669
     87875   26.315541
     87900   26.765460
     87925   26.976548
     87950   27.546345
     87975   26.992323
     88000   27.216122
     88025   27.604724
     88050   27.219959
     88075   26.315185
     88100   26.920003
     88125   27.122306
     88150   26.864458
     88175   26.389669
     88200   26.835097
     88225   26.245397
     88250   27.369242
     88275   26.648327
     88300   26.047195
     88325   24.653073
     88350   24.683711
     88375   24.575820
     88400   25.375005
     88425   25.562555
     88450   24.714545
     88475   25.939276
     88500   25.684828
     88525   25.928030
     88550   25.474098
     88575   24.836509
     88600   24.716758
     88625   25.758592
     88650   25.600755
     88675   25.314508
     88700   24.924815
     88725   24.580860
