 iteration      beta_a      beta_b
     28825    2.279621    1.027740
     28850    2.279553    1.049777
     28875    2.202516    1.030420
     28900    2.269236    1.039447
     28925    2.361780    1.065124
     28950    2.273206    1.048808
     28975    2.441231    1.069416
     29000    2.233216    1.022996
     29025    2.287509    1.020548
     29050    2.208059    1.017895
     29075    2.327193    1.046587
     29100    2.348259    1.069663
     29125    2.252751    1.047496
     29150    2.394755    1.089465
     29175    2.394647    1.079990
     29200    2.275032    1.066260
     29225    2.349809    1.096373
     29250    2.368274    1.064379
     29275    2.254766    1.064507
     29300    2.277814    1.040317
     29325    2.427999    1.090356
     29350    2.248574    1.015642
     29375    2.428143    1.092988
     29400    2.316944    1.025722
     29425    2.331941    1.079441
     29450    2.343717    1.073413
     29475    2.086745    0.963754
     29500    2.338470    1.088171
     29525    2.305511    1.047222
     29550    2.389283    1.065767
     29575    2.444473    1.088071
     29600    2.341440    1.067242
     29625    2.395237    1.083907
     29650    2.449142    1.089926
     29675    2.298785    1.056719
     29700    2.373038    1.075853
     29725    2.285917    1.047540
     29750    2.247438    1.030876
     29775    2.259333    1.037811
     29800    2.359710    1.021576
     29825    2.296151    1.052081
