 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     10750   -2.19637e+04    0.315505    0.300000    0.327968    0.200000    0.200000    0.338995    0.330133
     10775   -2.19065e+04    0.314509    0.280000    0.323024    0.200000    0.200000    0.337305    0.331916
     10800   -2.23529e+04    0.314842    0.360000    0.323273    0.360000    0.200000    0.339031    0.332028
     10825   -2.27132e+04    0.314197    0.360000    0.325691    0.200000    0.400000    0.337608    0.332103
     10850   -2.20703e+04    0.317443    0.320000    0.326723    0.280000    0.120000    0.339991    0.327572
     10875   -2.19237e+04    0.316807    0.330000    0.325531    0.440000    0.280000    0.340614    0.330920
     10900   -2.21255e+04    0.314531    0.310000    0.329124    0.160000    0.240000    0.341396    0.330769
     10925   -2.18650e+04    0.314526    0.210000    0.328857    0.280000    0.120000    0.335242    0.331694
     10950   -2.17308e+04    0.316283    0.320000    0.327648    0.240000    0.320000    0.337768    0.330307
     10975   -2.11858e+04    0.314949    0.300000    0.326812    0.240000    0.400000    0.335402    0.330485
     11000   -2.17935e+04    0.316381    0.360000    0.325585    0.200000    0.240000    0.338301    0.332708
     11025   -2.18921e+04    0.316145    0.290000    0.329782    0.360000    0.280000    0.336309    0.331027
     11050   -2.17777e+04    0.314727    0.290000    0.333126    0.240000    0.240000    0.342410    0.329698
     11075   -2.16834e+04    0.314593    0.440000    0.327381    0.440000    0.320000    0.337857    0.332072
     11100   -2.23588e+04    0.317701    0.360000    0.327363    0.240000    0.320000    0.338284    0.331503
     11125   -2.19136e+04    0.314878    0.280000    0.330298    0.320000    0.280000    0.341307    0.332041
     11150   -2.20207e+04    0.314860    0.380000    0.328733    0.400000    0.280000    0.338622    0.330547
     11175   -2.16850e+04    0.315900    0.400000    0.333819    0.280000    0.120000    0.337626    0.331561
     11200   -2.22393e+04    0.316834    0.250000    0.328324    0.200000    0.200000    0.339760    0.330044
     11225   -2.18748e+04    0.315629    0.220000    0.332628    0.240000    0.240000    0.340863    0.333175
     11250   -2.17059e+04    0.315469    0.430000    0.333286    0.200000    0.200000    0.337377    0.331796
     11275   -2.14698e+04    0.316398    0.320000    0.329960    0.160000    0.360000    0.337892    0.332463
     11300   -2.14414e+04    0.316105    0.250000    0.327132    0.240000    0.200000    0.337839    0.331223
     11325   -2.18733e+04    0.315567    0.350000    0.330298    0.160000    0.240000    0.335385    0.331418
     11350   -2.18135e+04    0.317319    0.320000    0.330743    0.360000    0.400000    0.334282    0.331819
     11375   -2.20187e+04    0.313944    0.230000    0.326278    0.200000    0.200000    0.336185    0.331988
     11400   -2.18277e+04    0.316132    0.270000    0.325389    0.320000    0.240000    0.340631    0.331432
     11425   -2.18344e+04    0.315109    0.260000    0.327150    0.280000    0.400000    0.332628    0.333001
     11450   -2.15486e+04    0.315958    0.300000    0.323397    0.240000    0.200000    0.339653    0.331014
     11475   -2.13628e+04    0.317519    0.270000    0.327257    0.280000    0.120000    0.336558    0.331912
     11500   -2.20395e+04    0.315073    0.260000    0.326438    0.280000    0.320000    0.340311    0.330418
     11525   -2.19808e+04    0.316541    0.360000    0.324553    0.240000    0.200000    0.340631    0.333170
     11550   -2.14267e+04    0.316585    0.350000    0.323468    0.320000    0.280000    0.338764    0.331587
     11575   -2.15554e+04    0.314246    0.290000    0.326954    0.280000    0.240000    0.339440    0.330169
     11600   -2.15993e+04    0.315683    0.290000    0.331472    0.320000    0.320000    0.339458    0.330711
     11625   -2.26178e+04    0.314775    0.250000    0.328839    0.280000    0.360000    0.341876    0.330614
     11650   -2.27647e+04    0.316616    0.270000    0.323966    0.320000    0.400000    0.340062    0.330658
     11675   -2.30293e+04    0.314660    0.280000    0.323788    0.240000    0.160000    0.339120    0.331512
     11700   -2.28808e+04    0.313997    0.290000    0.324855    0.160000    0.320000    0.336470    0.331512
     11725   -2.29946e+04    0.315656    0.260000    0.325531    0.160000    0.400000    0.340293    0.331827
     11750   -2.22223e+04    0.315776    0.380000    0.326545    0.160000    0.360000    0.339760    0.330405
     11775   -2.26220e+04    0.316052    0.280000    0.327594    0.120000    0.360000    0.339689    0.330987
     11800   -2.21764e+04    0.319271    0.320000    0.326865    0.480000    0.280000    0.339369    0.330578
     11825   -2.23427e+04    0.313433    0.220000    0.331223    0.280000    0.280000    0.336398    0.331570
     11850   -2.24666e+04    0.312365    0.300000    0.326278    0.160000    0.280000    0.342872    0.333108
     11875   -2.21863e+04    0.315185    0.300000    0.323610    0.080000    0.080000    0.340116    0.331076
     11900   -2.25738e+04    0.314900    0.360000    0.327274    0.240000    0.200000    0.335296    0.331632
     11925   -2.22818e+04    0.316225    0.290000    0.329818    0.240000    0.240000    0.340791    0.330454
     11950   -2.21519e+04    0.316207    0.410000    0.327630    0.240000    0.320000    0.338657    0.331463
     11975   -2.18674e+04    0.314122    0.370000    0.326954    0.040000    0.240000    0.339013    0.331676
     12000   -2.23699e+04    0.318684    0.320000    0.332414    0.280000    0.120000    0.340293    0.329631
     12025   -2.17159e+04    0.315851    0.300000    0.329622    0.320000    0.280000    0.339635    0.331952
     12050   -2.20749e+04    0.316687    0.180000    0.327203    0.240000    0.320000    0.338657    0.330236
     12075   -2.24994e+04    0.315945    0.300000    0.327683    0.360000    0.320000    0.341805    0.331783
     12100   -2.25778e+04    0.317639    0.280000    0.328751    0.240000    0.320000    0.341965    0.330400
