 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     56250   -3.65438e+05    0.241761    0.213333    0.185685    0.400000    0.360000    0.322200    0.295343
     56275   -3.66602e+05    0.242119    0.160000    0.186091    0.240000    0.360000    0.321607    0.294926
     56300   -3.65887e+05    0.242862    0.173333    0.185932    0.200000    0.280000    0.321304    0.294594
     56325   -3.63702e+05    0.242160    0.106667    0.186273    0.280000    0.400000    0.320973    0.294621
     56350   -3.63910e+05    0.242478    0.173333    0.185855    0.120000    0.240000    0.321517    0.294884
     56375   -3.62619e+05    0.241480    0.146667    0.185773    0.360000    0.160000    0.322060    0.295922
     56400   -3.61713e+05    0.241921    0.160000    0.185892    0.280000    0.320000    0.321626    0.296028
     56425   -3.63233e+05    0.242207    0.173333    0.185664    0.240000    0.240000    0.321585    0.295292
     56450   -3.63571e+05    0.241502    0.120000    0.184943    0.320000    0.440000    0.321591    0.295414
     56475   -3.62243e+05    0.241498    0.133333    0.185771    0.200000    0.280000    0.322618    0.295137
     56500   -3.63898e+05    0.241757    0.173333    0.185918    0.240000    0.360000    0.322040    0.295613
     56525   -3.63067e+05    0.241983    0.213333    0.185835    0.440000    0.240000    0.322030    0.295352
     56550   -3.64067e+05    0.241423    0.146667    0.184929    0.240000    0.160000    0.322702    0.295391
     56575   -3.61695e+05    0.241100    0.160000    0.184858    0.400000    0.280000    0.320408    0.295530
     56600   -3.62719e+05    0.241702    0.146667    0.184184    0.280000    0.400000    0.321455    0.295943
     56625   -3.62048e+05    0.241009    0.173333    0.185233    0.240000    0.200000    0.322004    0.295692
     56650   -3.62459e+05    0.241267    0.226667    0.184057    0.240000    0.320000    0.322357    0.295555
     56675   -3.63630e+05    0.241232    0.186667    0.185325    0.360000    0.400000    0.321860    0.295440
     56700   -3.62423e+05    0.242310    0.093333    0.185196    0.320000    0.160000    0.320818    0.295068
     56725   -3.62998e+05    0.241429    0.120000    0.185929    0.240000    0.040000    0.321473    0.295213
     56750   -3.64824e+05    0.241773    0.133333    0.186113    0.200000    0.360000    0.321951    0.294982
     56775   -3.62529e+05    0.242442    0.120000    0.186467    0.200000    0.160000    0.321108    0.295468
