 iteration      lambda
     82200   30.131789
     82225   30.626975
     82250   30.591501
     82275   30.939108
     82300   30.568979
     82325   30.172582
     82350   30.620989
     82375   30.166578
     82400   30.853601
     82425   30.662346
     82450   31.147327
     82475   31.641510
     82500   31.523149
     82525   31.745387
     82550   31.854258
     82575   31.789617
     82600   31.785521
     82625   31.287692
     82650   30.942652
     82675   31.434679
     82700   31.724447
     82725   31.408504
     82750   31.501391
     82775   31.523515
     82800   31.436411
     82825   31.355022
     82850   31.136567
     82875   31.553229
     82900   30.999240
     82925   31.290790
     82950   31.336365
     82975   31.239812
     83000   31.588004
     83025   31.790661
     83050   31.774375
     83075   31.364558
     83100   31.237628
     83125   31.655674
     83150   31.665245
     83175   31.055894
     83200   31.540491
     83225   30.691978
     83250   30.842715
     83275   30.735932
     83300   30.501711
     83325   30.627119
     83350   30.940367
     83375   30.814165
     83400   30.064221
     83425   29.939025
     83450   29.958457
     83475   30.008482
     83500   30.668448
     83525   30.520698
     83550   30.263902
     83575   29.894242
     83600   29.505909
     83625   29.672208
     83650   30.039961
     83675   30.118026
     83700   30.236626
     83725   30.092194
     83750   29.988804
     83775   30.082508
     83800   29.652716
     83825   29.907523
     83850   29.481526
     83875   29.241687
     83900   29.714831
     83925   29.641086
     83950   30.049664
     83975   29.848659
     84000   30.090605
     84025   29.572978
     84050   30.011682
     84075   30.110826
     84100   29.962515
     84125   29.712854
     84150   30.323696
     84175   30.184455
     84200   30.413594
     84225   30.421915
     84250   30.536934
     84275   30.719373
     84300   30.498896
     84325   30.565584
     84350   30.927792
     84375   30.212376
     84400   31.093445
     84425   31.280536
     84450   31.147673
     84475   30.560149
     84500   30.917165
     84525   31.069957
     84550   31.205469
     84575   30.939243
     84600   31.064992
     84625   31.329772
     84650   31.340248
     84675   31.439814
     84700   31.398905
     84725   31.368876
     84750   31.341491
     84775   31.715172
     84800   31.307016
     84825   31.514733
     84850   30.964020
     84875   31.128134
     84900   31.325417
     84925   31.169906
     84950   31.003846
     84975   31.288300
     85000   31.586036
     85025   30.715503
     85050   31.171451
     85075   31.269753
     85100   30.969033
     85125   31.165361
     85150   30.990719
     85175   31.730173
     85200   31.616540
     85225   32.011964
     85250   31.791633
     85275   31.587326
     85300   31.637723
     85325   31.314470
     85350   31.404244
     85375   31.601892
     85400   31.350274
     85425   31.905443
     85450   30.935933
     85475   31.038748
     85500   31.632445
     85525   31.766589
     85550   31.523234
     85575   31.568170
     85600   31.387948
     85625   31.491522
     85650   30.984472
     85675   31.218967
     85700   31.033505
     85725   31.632986
     85750   31.191976
     85775   31.363280
     85800   31.024386
     85825   31.541803
     85850   31.755751
     85875   32.070435
     85900   31.528637
     85925   31.976310
     85950   31.687564
     85975   31.245244
     86000   31.691188
     86025   31.948664
     86050   31.689240
     86075   31.647469
     86100   31.589270
     86125   31.345252
     86150   30.915846
     86175   31.618469
     86200   31.229247
     86225   31.269187
     86250   31.513304
     86275   30.952923
     86300   31.065581
     86325   31.272983
     86350   31.146048
     86375   31.292456
     86400   30.999005
     86425   30.810153
     86450   30.690744
     86475   31.017289
     86500   31.062858
     86525   31.381139
     86550   30.730045
     86575   31.283439
     86600   30.784094
     86625   30.915945
     86650   30.967074
     86675   31.113827
     86700   30.517588
     86725   31.770003
     86750   31.530641
     86775   31.866899
     86800   31.697160
     86825   31.333581
     86850   31.823238
     86875   31.032134
     86900   30.899655
     86925   31.608716
     86950   31.726238
     86975   31.233056
     87000   31.360131
     87025   31.280023
     87050   31.214830
     87075   31.247647
     87100   31.229103
     87125   31.965298
     87150   31.791214
     87175   31.735788
     87200   31.339953
     87225   31.059840
     87250   31.170738
     87275   31.412339
     87300   31.483281
     87325   31.335935
     87350   31.372024
     87375   31.634631
     87400   31.313961
     87425   31.185662
     87450   31.940240
     87475   31.342378
     87500   31.493526
     87525   31.490437
     87550   31.236169
     87575   30.948832
     87600   30.936203
     87625   31.338045
     87650   31.598892
     87675   31.038238
     87700   31.347534
     87725   30.791067
     87750   30.654514
     87775   30.843030
     87800   30.862140
     87825   31.025540
     87850   31.225748
     87875   30.874641
     87900   31.435795
     87925   31.219467
     87950   30.988568
     87975   30.609861
     88000   30.407128
     88025   30.395412
     88050   30.176328
     88075   30.582781
     88100   30.057173
     88125   29.991436
     88150   30.547196
     88175   30.449398
     88200   30.734174
     88225   30.473287
     88250   30.637801
     88275   30.349698
     88300   30.100963
     88325   29.922874
     88350   29.763846
     88375   30.758236
     88400   31.706662
     88425   31.243237
     88450   30.882519
     88475   30.864265
     88500   31.069405
     88525   30.419328
     88550   30.828294
     88575   31.446447
     88600   30.730538
     88625   30.890304
     88650   31.244992
     88675   31.204649
     88700   31.350381
     88725   31.857162
